epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.32,1.04528,2.39873,1.06504,0.73615,0.43089,0.48025,0.2774,1.11253,1.2442,1.02231,0.000231389,0.000231389,0.000231389
2,56.9073,0.9378,0.81333,0.9854,0.61037,0.40224,0.38814,0.2199,1.27096,1.76779,1.14566,0.000464742,0.000464742,0.000464742
3,87.9949,1.00573,0.8511,1.02492,0.45313,0.33191,0.23466,0.10206,1.72928,10.8464,1.66644,0.000693383,0.000693383,0.000693383
4,118.926,0.9967,0.80937,1.03569,0.47229,0.41251,0.30371,0.15265,1.47065,7.36606,1.37376,0.000692794,0.000692794,0.000692794
5,148.709,0.9711,0.76043,1.01238,0.62716,0.41995,0.38704,0.20434,1.29325,3.63778,1.07993,0.000685726,0.000685726,0.000685726
6,177.684,0.92926,0.6894,0.98727,0.62993,0.46854,0.45788,0.26594,1.07093,1.42714,0.92528,0.000678657,0.000678657,0.000678657
7,207.859,0.93638,0.68433,0.99731,0.69749,0.44384,0.48322,0.28797,1.12947,1.04121,0.96097,0.000671588,0.000671588,0.000671588
8,241.965,0.89599,0.63049,0.95762,0.70775,0.47922,0.51828,0.31513,1.00784,0.99071,0.89222,0.00066452,0.00066452,0.00066452
9,275.697,0.85817,0.62053,0.96598,0.68989,0.49757,0.52476,0.31386,0.97772,0.86983,0.85948,0.000657451,0.000657451,0.000657451
10,305.904,0.85983,0.59582,0.94808,0.75832,0.52634,0.5775,0.35989,0.9243,0.78038,0.82835,0.000650383,0.000650383,0.000650383
11,339.885,0.87964,0.59253,0.94496,0.77542,0.53414,0.59783,0.3717,0.89806,0.68766,0.82092,0.000643314,0.000643314,0.000643314
12,370.785,0.82621,0.63414,0.93054,0.80568,0.53484,0.60136,0.36133,0.96654,0.65446,0.85643,0.000636245,0.000636245,0.000636245
13,400.689,0.83614,0.54812,0.93775,0.79601,0.55546,0.62604,0.38766,0.88887,0.56931,0.82335,0.000629177,0.000629177,0.000629177
14,433.531,0.82896,0.57699,0.93266,0.81868,0.55244,0.62224,0.38372,0.89148,0.66766,0.81594,0.000622108,0.000622108,0.000622108
15,463.077,0.81995,0.53349,0.92772,0.80736,0.53854,0.60437,0.38044,0.8638,0.5923,0.80586,0.00061504,0.00061504,0.00061504
16,493.046,0.81581,0.53054,0.93467,0.82574,0.55441,0.61946,0.38588,0.87226,0.5865,0.81554,0.000607971,0.000607971,0.000607971
17,519.886,0.81351,0.55225,0.93991,0.80776,0.55603,0.62883,0.39021,0.89382,0.62688,0.82736,0.000600902,0.000600902,0.000600902
18,554.125,0.79249,0.53783,0.93572,0.83623,0.56461,0.63724,0.39545,0.90011,0.61329,0.83455,0.000593834,0.000593834,0.000593834
19,585.926,0.8083,0.52644,0.9253,0.82479,0.58827,0.64805,0.40619,0.83962,0.57127,0.81017,0.000586765,0.000586765,0.000586765
20,619.561,0.78885,0.51303,0.92665,0.8234,0.59323,0.65578,0.41978,0.83926,0.52757,0.80109,0.000579697,0.000579697,0.000579697
21,654.717,0.76173,0.4934,0.92008,0.81454,0.57267,0.63694,0.39909,0.86559,0.61646,0.81106,0.000572628,0.000572628,0.000572628
22,685.718,0.79012,0.50974,0.92134,0.84684,0.58814,0.66233,0.42063,0.8257,0.5315,0.79685,0.000565559,0.000565559,0.000565559
23,720.099,0.75615,0.48187,0.91453,0.83196,0.59131,0.66465,0.42288,0.83617,0.51502,0.79492,0.000558491,0.000558491,0.000558491
24,753.982,0.75405,0.47195,0.91115,0.84385,0.60097,0.68003,0.4303,0.83456,0.5017,0.80785,0.000551422,0.000551422,0.000551422
25,786.223,0.73385,0.47086,0.90705,0.81075,0.61428,0.66983,0.42777,0.80869,0.49584,0.78829,0.000544354,0.000544354,0.000544354
26,816.652,0.73327,0.46088,0.92021,0.84075,0.6036,0.67675,0.43177,0.80936,0.49599,0.7892,0.000537285,0.000537285,0.000537285
27,848.249,0.75275,0.47413,0.90474,0.83092,0.61214,0.67016,0.42843,0.81031,0.49715,0.78342,0.000530216,0.000530216,0.000530216
28,878.8,0.72958,0.45545,0.9033,0.84261,0.60027,0.66587,0.42675,0.79924,0.50571,0.78913,0.000523148,0.000523148,0.000523148
29,908.522,0.70845,0.4492,0.89497,0.86829,0.58168,0.67504,0.43514,0.79427,0.47392,0.78294,0.000516079,0.000516079,0.000516079
30,942.378,0.74735,0.46208,0.91337,0.87459,0.60668,0.69839,0.4451,0.79447,0.46403,0.78539,0.000509011,0.000509011,0.000509011
31,975.745,0.71221,0.4483,0.899,0.8424,0.6184,0.68268,0.43972,0.79903,0.49899,0.78344,0.000501942,0.000501942,0.000501942
32,1004.87,0.71096,0.44228,0.89255,0.84561,0.61151,0.68338,0.43596,0.8017,0.47596,0.78651,0.000494873,0.000494873,0.000494873
33,1033.69,0.70913,0.43358,0.89874,0.86179,0.62064,0.69651,0.45172,0.79078,0.45559,0.78935,0.000487805,0.000487805,0.000487805
34,1066.91,0.71004,0.4332,0.90248,0.8556,0.62032,0.70383,0.45476,0.77743,0.46163,0.77809,0.000480736,0.000480736,0.000480736
35,1097.84,0.71867,0.43854,0.90282,0.85805,0.62426,0.70247,0.45326,0.77251,0.45931,0.76974,0.000473668,0.000473668,0.000473668
36,1128.26,0.70213,0.42821,0.89968,0.86559,0.62661,0.70549,0.45442,0.78793,0.46272,0.78219,0.000466599,0.000466599,0.000466599
37,1158.17,0.70249,0.43707,0.90042,0.88593,0.61262,0.70562,0.4567,0.76999,0.45114,0.77568,0.00045953,0.00045953,0.00045953
38,1190.3,0.67265,0.46118,0.87993,0.8585,0.6264,0.70246,0.45725,0.77358,0.44624,0.78246,0.000452462,0.000452462,0.000452462
39,1223.67,0.68873,0.41957,0.8953,0.84611,0.63874,0.70511,0.4559,0.77355,0.44342,0.77591,0.000445393,0.000445393,0.000445393
40,1253.76,0.697,0.42017,0.89334,0.86854,0.62321,0.69917,0.4539,0.76972,0.44568,0.7773,0.000438325,0.000438325,0.000438325
41,1283.28,0.66718,0.41366,0.89173,0.88454,0.626,0.71137,0.46053,0.77122,0.43663,0.77821,0.000431256,0.000431256,0.000431256
42,1316.68,0.67959,0.4089,0.89026,0.87548,0.62947,0.70915,0.45952,0.76304,0.4332,0.78237,0.000424187,0.000424187,0.000424187
43,1343.54,0.67508,0.40943,0.90123,0.86462,0.62918,0.71592,0.46731,0.75561,0.43591,0.76879,0.000417119,0.000417119,0.000417119
44,1376.94,0.69211,0.41022,0.88244,0.85789,0.64596,0.72543,0.46857,0.76,0.44206,0.77656,0.00041005,0.00041005,0.00041005
45,1409.69,0.65886,0.39552,0.88734,0.86415,0.63807,0.71735,0.46843,0.74002,0.43209,0.7672,0.000402982,0.000402982,0.000402982
46,1439.16,0.64208,0.38489,0.88519,0.86642,0.64309,0.72669,0.4741,0.74798,0.42441,0.7641,0.000395913,0.000395913,0.000395913
47,1472.63,0.65583,0.39011,0.88048,0.87934,0.63775,0.72375,0.47465,0.74001,0.40949,0.76136,0.000388844,0.000388844,0.000388844
48,1506.55,0.66594,0.384,0.88219,0.87448,0.65181,0.72669,0.47738,0.74025,0.41799,0.76668,0.000381776,0.000381776,0.000381776
49,1540.38,0.68365,0.48102,0.86277,0.88653,0.63282,0.72673,0.4782,0.75064,0.41785,0.77249,0.000374707,0.000374707,0.000374707
50,1573.85,0.67309,0.39306,0.88009,0.86547,0.65982,0.72703,0.47811,0.73539,0.41451,0.76218,0.000367639,0.000367639,0.000367639
51,1604.02,0.64891,0.38292,0.88736,0.86798,0.65265,0.72758,0.47649,0.74068,0.40749,0.76459,0.00036057,0.00036057,0.00036057
52,1634.32,0.64236,0.3784,0.88439,0.85061,0.64804,0.724,0.47503,0.73568,0.41419,0.76425,0.000353501,0.000353501,0.000353501
53,1664.65,0.63842,0.38383,0.88592,0.87146,0.62601,0.71741,0.47189,0.72801,0.40932,0.76201,0.000346433,0.000346433,0.000346433
54,1690.23,0.61777,0.37694,0.87422,0.8813,0.64401,0.72785,0.4839,0.73547,0.40851,0.76293,0.000339364,0.000339364,0.000339364
55,1721.39,0.64135,0.38734,0.87999,0.88151,0.64639,0.73092,0.48257,0.72355,0.39574,0.76955,0.000332296,0.000332296,0.000332296
56,1749.38,0.62011,0.36666,0.87837,0.86536,0.64686,0.72781,0.48275,0.73251,0.40347,0.761,0.000325227,0.000325227,0.000325227
57,1779.28,0.63904,0.37089,0.87166,0.88035,0.65124,0.73491,0.48575,0.73708,0.40437,0.7654,0.000318158,0.000318158,0.000318158
58,1811.42,0.63147,0.36849,0.88418,0.88499,0.64976,0.74242,0.49337,0.72685,0.39435,0.76527,0.00031109,0.00031109,0.00031109
59,1845.01,0.63323,0.36608,0.8734,0.8852,0.64673,0.74073,0.49442,0.72853,0.40673,0.76422,0.000304021,0.000304021,0.000304021
60,1876.71,0.62105,0.36518,0.86857,0.87988,0.65672,0.74389,0.49871,0.72481,0.40221,0.76474,0.000296953,0.000296953,0.000296953
61,1907.67,0.63017,0.36914,0.87327,0.89291,0.65526,0.74463,0.49602,0.71317,0.393,0.75793,0.000289884,0.000289884,0.000289884
62,1937.11,0.60953,0.35641,0.87476,0.87781,0.65741,0.74233,0.49934,0.71982,0.3951,0.76336,0.000282815,0.000282815,0.000282815
63,1971.44,0.62337,0.36091,0.86829,0.90059,0.64837,0.73854,0.49427,0.71829,0.39254,0.76264,0.000275747,0.000275747,0.000275747
64,2000.15,0.62692,0.35663,0.86442,0.86379,0.66473,0.74267,0.49983,0.71588,0.38371,0.75874,0.000268678,0.000268678,0.000268678
65,2032.01,0.63251,0.35682,0.87096,0.8631,0.6723,0.74351,0.49542,0.71146,0.37979,0.75917,0.00026161,0.00026161,0.00026161
66,2061.79,0.62837,0.35855,0.87989,0.87871,0.67195,0.75541,0.50245,0.71927,0.38288,0.76319,0.000254541,0.000254541,0.000254541
67,2096.1,0.62194,0.36055,0.87191,0.85454,0.67609,0.74991,0.50506,0.71677,0.3821,0.76396,0.000247472,0.000247472,0.000247472
68,2129.73,0.59157,0.34581,0.85876,0.8729,0.67321,0.75157,0.50356,0.70566,0.3721,0.75691,0.000240404,0.000240404,0.000240404
69,2159.8,0.61782,0.35736,0.86972,0.88302,0.66333,0.74875,0.50273,0.70646,0.37804,0.75652,0.000233335,0.000233335,0.000233335
70,2189.92,0.6049,0.34756,0.86743,0.86971,0.67574,0.75377,0.50925,0.7071,0.37392,0.75384,0.000226267,0.000226267,0.000226267
71,2224.55,0.59925,0.33659,0.86818,0.89098,0.66025,0.75203,0.50577,0.7056,0.38779,0.75654,0.000219198,0.000219198,0.000219198
72,2251.26,0.5983,0.33874,0.86538,0.87838,0.66561,0.75731,0.51124,0.70586,0.37761,0.75563,0.000212129,0.000212129,0.000212129
73,2282.45,0.59419,0.34661,0.86644,0.88066,0.66907,0.75675,0.50732,0.70305,0.37495,0.75681,0.000205061,0.000205061,0.000205061
74,2310.41,0.58843,0.33768,0.87208,0.87359,0.66911,0.75279,0.50694,0.7099,0.38128,0.75687,0.000197992,0.000197992,0.000197992
75,2337.62,0.59436,0.33498,0.86432,0.87972,0.66371,0.75735,0.51325,0.6993,0.3753,0.75307,0.000190924,0.000190924,0.000190924
76,2371.38,0.60071,0.33717,0.85924,0.89195,0.66511,0.75596,0.51392,0.69619,0.37532,0.75723,0.000183855,0.000183855,0.000183855
77,2405.7,0.59726,0.33618,0.86163,0.88554,0.66563,0.75332,0.50955,0.69863,0.37982,0.7575,0.000176786,0.000176786,0.000176786
78,2437.06,0.59975,0.33567,0.87974,0.88883,0.67508,0.76248,0.51311,0.69462,0.3687,0.751,0.000169718,0.000169718,0.000169718
79,2466.66,0.59057,0.32891,0.86708,0.88001,0.6772,0.76328,0.51961,0.69186,0.36891,0.74875,0.000162649,0.000162649,0.000162649
80,2500.05,0.58037,0.32636,0.86005,0.86354,0.68654,0.75887,0.51391,0.69451,0.36632,0.75061,0.000155581,0.000155581,0.000155581
81,2529.87,0.57616,0.32939,0.86286,0.86727,0.68716,0.76252,0.51544,0.68963,0.36606,0.75379,0.000148512,0.000148512,0.000148512
82,2557.58,0.57859,0.33135,0.86038,0.87413,0.67349,0.76271,0.51456,0.69542,0.3653,0.75644,0.000141443,0.000141443,0.000141443
83,2588.48,0.58003,0.32425,0.86043,0.87285,0.67976,0.76748,0.52212,0.69287,0.36318,0.75566,0.000134375,0.000134375,0.000134375
