epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.9574,1.17675,3.32999,1.09152,0.01004,0.19536,0.10423,0.08367,1.0785,3.3773,0.83517,0.000231389,0.000231389,0.000231389
2,30.8055,1.03916,1.52795,1.00239,0.99609,0.04534,0.19824,0.14305,1.12447,2.87054,0.85059,0.000464742,0.000464742,0.000464742
3,45.5399,1.00207,1.25721,1.00398,0.82766,0.16789,0.27768,0.17461,1.15476,2.2796,0.93198,0.000693383,0.000693383,0.000693383
4,60.0484,0.97345,1.11103,1.00106,0.68816,0.3062,0.35257,0.21691,1.13195,1.46623,0.91544,0.000692794,0.000692794,0.000692794
5,74.3026,0.95799,0.97514,0.98563,0.73285,0.36949,0.41727,0.25483,1.04829,1.00459,0.86542,0.000685726,0.000685726,0.000685726
6,88.0165,0.92406,0.85769,0.96836,0.71923,0.36101,0.4074,0.25005,1.10751,1.0449,0.89547,0.000678657,0.000678657,0.000678657
7,101.42,0.91299,0.7997,0.96547,0.72675,0.41507,0.46796,0.27577,1.03232,0.83684,0.84806,0.000671588,0.000671588,0.000671588
8,115.634,0.90822,0.75966,0.95102,0.75357,0.43017,0.49234,0.29224,0.9953,0.76805,0.83371,0.00066452,0.00066452,0.00066452
9,129.743,0.87637,0.70247,0.95841,0.75745,0.42564,0.48863,0.30388,0.97623,0.80626,0.82427,0.000657451,0.000657451,0.000657451
10,143.977,0.8857,0.69438,0.94556,0.7582,0.45273,0.5075,0.30209,1.02298,0.77024,0.87179,0.000650383,0.000650383,0.000650383
11,158.806,0.90343,0.6781,0.94092,0.72172,0.46419,0.51206,0.30712,0.99082,0.7832,0.849,0.000643314,0.000643314,0.000643314
12,172.668,0.89289,0.79564,0.92111,0.78186,0.46107,0.52776,0.30721,1.03562,0.79266,0.89285,0.000636245,0.000636245,0.000636245
13,186.677,0.87396,0.639,0.94114,0.77312,0.45459,0.5086,0.31055,0.9531,0.8028,0.81698,0.000629177,0.000629177,0.000629177
14,200.067,0.87438,0.664,0.9352,0.82276,0.45414,0.52288,0.32648,0.91287,0.78025,0.80965,0.000622108,0.000622108,0.000622108
15,213.768,0.85367,0.61241,0.93046,0.79222,0.49112,0.55665,0.33063,0.94118,0.63485,0.81675,0.00061504,0.00061504,0.00061504
16,227.861,0.84144,0.60706,0.92969,0.79534,0.45218,0.52463,0.32877,0.93743,0.67283,0.81268,0.000607971,0.000607971,0.000607971
17,240.992,0.85543,0.61247,0.95095,0.7786,0.48807,0.54866,0.33783,0.92797,0.68763,0.82147,0.000600902,0.000600902,0.000600902
18,254.902,0.82883,0.61134,0.94086,0.78933,0.49359,0.55523,0.34606,0.90597,0.60696,0.80023,0.000593834,0.000593834,0.000593834
19,268.802,0.8559,0.5835,0.92802,0.79249,0.49226,0.55345,0.33899,0.92759,0.67696,0.8112,0.000586765,0.000586765,0.000586765
20,282.308,0.83767,0.57912,0.92966,0.78425,0.50614,0.56113,0.34729,0.8937,0.6065,0.79621,0.000579697,0.000579697,0.000579697
