epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.5765,1.11061,2.49539,1.07512,0.72237,0.37254,0.41323,0.2661,0.9879,1.02201,0.84262,0.000231389,0.000231389,0.000231389
2,35.3896,0.92985,0.79188,0.9693,0.73722,0.42799,0.47312,0.27781,1.16255,1.05992,1.01039,0.000464742,0.000464742,0.000464742
3,53.7371,0.9553,0.76344,0.99521,0.57818,0.41436,0.38508,0.22126,1.12064,2.43663,0.94905,0.000693383,0.000693383,0.000693383
4,71.5481,0.95025,0.72733,1.00691,0.55103,0.45479,0.43211,0.2403,1.10539,2.37769,0.92826,0.000692794,0.000692794,0.000692794
5,88.5119,0.91908,0.70312,0.9744,0.67711,0.42092,0.44326,0.25819,1.115,1.70014,0.93697,0.000685726,0.000685726,0.000685726
6,105.266,0.90242,0.65772,0.96556,0.67893,0.47239,0.49439,0.28949,1.01378,1.30062,0.86473,0.000678657,0.000678657,0.000678657
7,123.744,0.89049,0.62819,0.9607,0.69473,0.48492,0.50927,0.30718,0.99331,0.93963,0.85882,0.000671588,0.000671588,0.000671588
8,141.944,0.87358,0.61945,0.94128,0.77878,0.49789,0.55725,0.33824,0.97073,0.74699,0.83262,0.00066452,0.00066452,0.00066452
9,161.094,0.82924,0.58519,0.94341,0.69278,0.51683,0.54087,0.33023,0.93012,0.88757,0.81799,0.000657451,0.000657451,0.000657451
10,177.346,0.85166,0.58289,0.93797,0.7962,0.50107,0.56765,0.35068,0.94493,0.76777,0.83456,0.000650383,0.000650383,0.000650383
11,197.309,0.86553,0.57061,0.92937,0.8096,0.52095,0.58604,0.3552,0.93562,0.77572,0.82439,0.000643314,0.000643314,0.000643314
12,216.361,0.85338,0.65877,0.92148,0.80394,0.50777,0.57717,0.35723,0.8999,0.63003,0.80753,0.000636245,0.000636245,0.000636245
13,234.995,0.82792,0.55294,0.92708,0.82076,0.53432,0.6039,0.36712,0.90037,0.60074,0.79895,0.000629177,0.000629177,0.000629177
14,255.137,0.82682,0.5634,0.91822,0.84571,0.53873,0.61754,0.38473,0.87471,0.5762,0.80265,0.000622108,0.000622108,0.000622108
15,271.917,0.81698,0.53384,0.91886,0.82511,0.54763,0.60941,0.37842,0.88007,0.5836,0.79871,0.00061504,0.00061504,0.00061504
16,288.76,0.80558,0.52687,0.91937,0.83866,0.5458,0.62614,0.39969,0.88929,0.58135,0.81834,0.000607971,0.000607971,0.000607971
17,308.844,0.81699,0.54402,0.92925,0.8356,0.54378,0.6275,0.39299,0.86394,0.52732,0.79282,0.000600902,0.000600902,0.000600902
18,325.726,0.78871,0.52249,0.93115,0.83706,0.55091,0.62426,0.38428,0.83842,0.53998,0.77512,0.000593834,0.000593834,0.000593834
19,343.335,0.79954,0.51186,0.91578,0.86064,0.53643,0.63307,0.39041,0.86094,0.56583,0.79077,0.000586765,0.000586765,0.000586765
20,360.679,0.77963,0.50502,0.91473,0.81006,0.56363,0.61925,0.39054,0.86613,0.59338,0.79646,0.000579697,0.000579697,0.000579697
21,377.697,0.77744,0.51204,0.91221,0.82378,0.56735,0.63575,0.40084,0.86545,0.53987,0.79739,0.000572628,0.000572628,0.000572628
22,396.768,0.80187,0.52588,0.91062,0.83209,0.5711,0.63389,0.39311,0.86081,0.53253,0.791,0.000565559,0.000565559,0.000565559
23,413.857,0.75936,0.48912,0.90974,0.82937,0.58173,0.64667,0.41366,0.82681,0.50066,0.77777,0.000558491,0.000558491,0.000558491
24,432.578,0.75522,0.47647,0.90521,0.83485,0.57049,0.64121,0.39735,0.83246,0.51613,0.77778,0.000551422,0.000551422,0.000551422
25,449.505,0.75859,0.4782,0.9078,0.84786,0.58415,0.6604,0.41478,0.8217,0.4954,0.77349,0.000544354,0.000544354,0.000544354
26,468.486,0.74372,0.47092,0.91236,0.82452,0.58386,0.6461,0.40716,0.82225,0.50323,0.77594,0.000537285,0.000537285,0.000537285
27,486.021,0.77208,0.47281,0.9045,0.85244,0.56956,0.65039,0.41132,0.83787,0.50042,0.7812,0.000530216,0.000530216,0.000530216
28,501.64,0.73944,0.4699,0.9006,0.81535,0.59768,0.6574,0.41377,0.81363,0.49575,0.77915,0.000523148,0.000523148,0.000523148
29,519.235,0.72646,0.45094,0.8934,0.82464,0.59848,0.66766,0.42434,0.80546,0.47792,0.77144,0.000516079,0.000516079,0.000516079
30,538.28,0.74666,0.45819,0.90522,0.86205,0.5842,0.66383,0.42125,0.80373,0.48161,0.76976,0.000509011,0.000509011,0.000509011
